question_id,answer_filename,answer_text,answer_correct,source,label
00041_42268,M1_1_01_00041_42268_A.png,"두 수의 공배수는 두 수의 최소공배수의 배수이고, $100$보다 작은 $24$의 배수는 $24, 48, 72, 96$이므로 구하는 공배수의 개수는 $4$개이다.  공배수는 최소공배수의 배수이다.",$4$개,111.수학 과목 문제생성 데이터,training
00041_42269,M1_1_01_00041_42269_A.png,"두 자연수 $ A $ 와 $ B $ 의 공배수는 두 수의 최소공배수의 배수이다. 그런데 $ A $ 와 $ B $ 의 최소공배수가 $18$ 이므로 $ A $ 와 $ B $ 의 공배수는 $ 18,36,54,72, \\cdots $ 이다. 따라서, $ A $ 와 $ B $ 의 공배수 중 $50$ 에 가장 가까운 수는 $54$ 이다.  공배수는 최소공배수의 배수이다.",$54$,111.수학 과목 문제생성 데이터,training
00041_42271,M1_1_01_00041_42271_A.png,"$a$와 $b$의 공배수는 최소공배수의 배수이므로  $36 $의 배수를 구하면 된다.따라서, $a$와 $b$의 공배수 중  $100 $ 이하의 자연수는 $36 , 72 $이다. 공배수는 최소공배수의 배수이다.","$36 , 72 $",111.수학 과목 문제생성 데이터,training
00041_42277,M1_1_01_00041_42277_A.png,"$ 2^{2} \\times 3^{a} $ 과 $ 2^{b} \\times 3^{4} $의 최소공배수가 $ 2^{3} \\times 3^{5} $이므로 $ b=3, a=5 $이다. 최소공배수는 소인수분해하여 공통인 인수와 공통이 아닌 인수를 모두 곱한다. 이때, 공통인 소인수의 지수는 같거나 큰 것을 택한다.","$ a=5, b=3 $",111.수학 과목 문제생성 데이터,training
00041_42286,M1_1_01_00041_42286_A.png,"구하는 분수를 $ \\frac{y}{x} $ 라고 하면 $ 1 \\frac{1}{8}=\\frac{9}{8}, 2 \\frac{1}{10}=\\frac{21}{10} $ 이므로 \\[ \\begin{array}{l} \\frac{9}{8} \\times \\frac{y}{x}=\\text { [자연수] }, \\frac{21}{10} \\times \\frac{y}{x}=[\\text { 자연수 }] \\\\ \\therefore y=[8 \\text { 과 } 10 \\text { 의 공배수 }], x=[9 \\text { 와 } 21 \\text { 의 공약수 }] \\end{array} \\] 따라서, 이를 만족하는 $ \\frac{y}{x} $ 중 가장 작은 분수는 \\[ \\frac{[8 \\text { 과 } 10 \\text { 의 최소공배수 }]}{[9 \\text { 와 } 21 \\text { 의 최대공약수 }]}=\\frac{40}{3} \\]  분수는 분자가 작을수록, 분모가 클수록 작다.",$ \\frac{40}{3} $,111.수학 과목 문제생성 데이터,training
00041_42287,M1_1_01_00041_42287_A.png,"따라서, 이를 만족하는 $ \\frac{y}{x} $중 가장 작은 분수는 \\( \\frac{[5 \\text {와 } 15 \\text {의 최소공배수 }]}{[16 \\text {과 } 4 \\text {의 최대공약수 }]}=\\frac{15}{4} \\) 분수는 분자가 작을수록, 분모가 클수록 작다.","$ \\frac{15}{4} $ 구하는 분수를 $ \\frac{y}{x} $라고 하면 \\( \\begin{array}{l} \\left.\\left.\\frac{16}{5} \\times \\frac{y}{x}=\\text { [자연수}\\right], \\frac{4}{15} \\times \\frac{y}{x}=\\text { [자연수}\\right] \\\\ \\therefore y=[5 \\text {와 } 15 \\text {의 공배수 }], x=[16 \\text {과 } 4 \\text {의 공약수 }] \\end{array} \\)",111.수학 과목 문제생성 데이터,training
00041_42288,M1_1_01_00041_42288_A.png,"구하는 분수를 $ \\frac{y}{x} $ 라고 하면 \\( \\frac{7}{16} \\times \\frac{y}{x}=\\)[자연수], $\\frac{49}{12} \\times \\frac{y}{x}=$ [자연수] $\\therefore y=[16$과  $12$의 공배수],  $x=$[$7$ 과 $49$의 공약수] 따라서, 이를 만족하는 $ \\frac{y}{x} $ 중 가장 작은 분수는 \\[ \\frac{[16 \\text { 과 } 12 \\text { 의 최소공배수 }]}{[7 \\text { 과 } 49 \\text { 의 최대공약수 }]}=\\frac{48}{7} \\] 분수는 분자가 작을수록, 분모가 클수록 작다.",$ \\frac{48}{7} $,111.수학 과목 문제생성 데이터,training
00041_42289,M1_1_01_00041_42289_A.png,"$\\frac{25}{9} \\times \\frac{m}{n} =$ [자연수], $\\frac{35}{12} \\times \\frac{m}{n} =$ [자연수]이므로 $m=$[$9$와 $12$의 공배수], $n=$[$25$와 $35$의 공약수] 그런데 $\\frac{m}{n}$이 가장 작은 분수이어야 하므로 $m=$[$9$와 $12$의 최소공배수]$=36 n=$[$25$와 $35$의 최대공약수]$=5 \\therefore \\frac{m}{n}=\\frac{36}{5}$ 분수는 분자가 작을수록, 분모가 클수록 작다.",$\\frac{36}{5}$,111.수학 과목 문제생성 데이터,training
00041_42290,M1_1_01_00041_42290_A.png,"분수는 분자가 작을수록, 분모가 클수록 작다.","$ \\frac{140}{3} $ $ \\frac{15}{28} \\times \\frac{b}{a}= $ [자연수], $ \\frac{18}{35} \\times \\frac{b}{a}= $ [자연 수] 이므로 $ b= $ (28과 35의 공배수) $ a=(15 $ 와 18 의 공약수) 따라서, 이를 만족하는 분수 $ \\frac{b}{a} $ 중 가장 작은 분수는 \\[ \\frac{[28 \\text { 과 } 35 \\text { 의 최소공배수 }]}{[15 \\text { 와 } 18 \\text { 의 최대공약수] }}=\\frac{140}{3} \\]",111.수학 과목 문제생성 데이터,training
00041_42291,M1_1_01_00041_42291_A.png,"구하는 두 자리의 정수를 $ n $ 이라고 하면 $\\frac{1}{4} \\times n=\\left(\\right.$ 자연수), $\\frac{1}{6} \\times n=($ 자연수 ) $\\therefore n=$ (4와 6 의 공배수 ) $=(4$ 와 6 의 최소공배수의 배수 ) $=(12$ 의 배수 ) 따라서, $ n $ 은 $ 12,24,36,48,60,72,84,96 $ 의 $8$ 개이다.   $ \\frac{1}{a} \\times b $ 가 자연수이면 $ b $ 는 $ a $ 의 배수이다.",$8$개,111.수학 과목 문제생성 데이터,training
00041_42292,M1_1_01_00041_42292_A.png,"$ \\therefore $ 최소공배수 $ \\}=x \\times 2 \\times 2 \\times 3 \\times 5 , \\therefore $ 최대 공약수 $ \\}=x \\times 2 $ 그런데 최소공배수가 480 이므로 $ 60 \\times x=480 $ $ \\therefore x=8 $ $ \\therefore $ (최대공약수 $ \\}=2 \\times 8=16 $ 세 자연수 $ 4 \\times x, 6 \\times x, 10 \\times x $ 에서 $ x $ 는 세 자연수의 공약수이다.",$16$,111.수학 과목 문제생성 데이터,training
00041_42293,M1_1_01_00041_42293_A.png,"$ \\therefore( $ 최대공약수 $ )=a,[ $ 최소공배수 $ ]=a \\times 2 \\times 3 $ 그런데 최소공배수가 $9$0 이므로 $ 6 \\times a=90  \\therefore a=15 \\therefore(\\text { 최대공약수 })=15 $  세 자연수 $ 2 \\times a, 3 \\times a, 6 \\times a $ 에서 $ a $ 는 세 자연수의 공약수이다.","$ a=15 $, (최대공약수) $ =15 $",111.수학 과목 문제생성 데이터,training
00041_42294,M1_1_01_00041_42294_A.png,"세 자연수의 비가 $3:4:5$이므로 세 자연수를 자연수 $a$에 대하여 $ 3 \\times a, 4 \\times a, 5 \\times a $라 하면 $\\therefore$ (최소공배수) $ =a \\times 3 \\times 4 \\times 5 $ 그런데 최소공배수가 $420$이므로 $ 60 \\times a=420  \\therefore a=7  \\therefore$ (최대공약수)$=7$ 세 자연수의 비가 $3:4:5$이면 세 자연수를 자연수 $a$에 대하여 $ 3 \\times a,  4 \\times a,  5 \\times a $로 놓을 수 있다.",$7$,111.수학 과목 문제생성 데이터,training
00041_42295,M1_1_01_00041_42295_A.png,"(1)  $ \\therefore $ [최소공배수 $ ]=k \\times 3 \\times 2 \\times 3 \\times 5 \\\\ $ 그런데 최소공배수가 360 이므로  $ 90 \\times k=360  \\therefore k=4 \\\\ $ (2) [최대공약수] $ =k \\times 3=4 \\times 3=12 \\\\ $ 세 자연수 $ 6 \\times k, 9 \\times k, 15 \\times k $ 에서 $ k $ 는 세 자연수의 공약수이다.",(1) $4$ (2) $12$,111.수학 과목 문제생성 데이터,training
00041_42296,M1_1_01_00041_42296_A.png,"\\( \\begin{array}{} a)~{6×a}~~~~ {7×a}~~~~ {8×a} \\\\ \\hline 2)~{6}~~~~~~~~~~~~~~~~~{7}~~~~~~~~~~{8} \\\\ \\hline  ~~3~~~~~~~~~~~~~~~7~~~~~~~~~~~~~4\\ \\end{array} \\)   $\\therefore$ [최소공배수] $=a \\times 2 \\times 3 \\times 7 \\times 4$   그런데 최소공배수가 $336$이므로  $168 \\times a=336  \\therefore a=2  $  세 자연수  $6 \\times a, 7 \\times a, 8 \\times a$에서 $a$는 세 자연수의 공약수이다.",$2  $,111.수학 과목 문제생성 데이터,training
00041_42297,M1_1_01_00041_42297_A.png,"세 자연수의 비가 $ 5: 6: 7 $ 이므로 세 자연수를 자연수 $ a $ 에 대하여 $ 5 \\times a, 6 \\times a, 7 \\times a $ 라 하면 $ \\therefore $ (최소공배수 $ )=a \\times 5 \\times 6 \\times 7 $ 그런데 최소공배수가 $420$ 이므로 $210 \\times a=420  \\therefore a=2$ 따라서, 세 자연수의 최대공약수는 $2$이다. 세 자연수의 비가 $ 5: 6: 7 $ 이면 세 자연수를 자연수 $ a $ 에 대하여 $ 5 \\times a, 6 \\times a, 7 \\times a $ 로 놓을 수 있다.",$2$,111.수학 과목 문제생성 데이터,training
00041_42298,M1_1_01_00041_42298_A.png,"만들려고 하는 정육면체의 한 모서리의 길이는 $ 6, 9, 12 $ 의 최소공배수이므로 $ ( $ 구하는 한 모서리의 길이 $ )=(6,9,12 $ 의 최소공배수 $ )=36(\\mathrm{~cm}) $ 따라서, 가로로 $6$ 개, 세로로 $4$개, 높이로 $3$개씩 쌓으면 되므로 (필요한 상자의 개수) $ =6 \\times 4 \\times 3=72 $ (개) '최소한', '가장 작은' 등의 표현이 있으면 대체로 최소공배수를 묻는 문제이다.",$72$개,111.수학 과목 문제생성 데이터,training
00041_42300,M1_1_01_00041_42300_A.png,"(1) 만들려고 하는 정육면체의 한 모서리의 길이는 $ 18,12,9 $의 최소공배수이므로 (정육면체의 한 모서리의 길이) $ =(18,12,9 $ 의 최소공배수) $ =36(\\mathrm{cm}) $  (2) (필요한 나무토막의 개수)  $ \\begin{aligned}=\\frac{36}{18} \\times \\frac{36}{12} \\times \\frac{36}{9} & =2 \\times 3 \\times 4 \\\\ & =24 \\text { (개) }\\end{aligned}   $ 정육면체의 한 모서리의 길이는 나무토막의 가로의 길이, 세로의 길이, 높이의 공배수이다.",(1) $ 36 \\mathrm{cm} $ (2) $ 24$ 개,111.수학 과목 문제생성 데이터,training
00041_42302,M1_1_01_00041_42302_A.png,"만들려고 하는 정사각형의 한 변의 길이는 $35$ 와 $45$ 의 최소공배수이므로 (정사각형의 한 변의 길이) $ =(35 $ 와 45 의 최소공배수 $ )=315(\\mathrm{~cm}) $ \\[ \\begin{array}{l} \\therefore \\text { [펄요한 타일의 개수] }=\\frac{315}{35} \\times \\frac{315}{45} \\\\ =9 \\times 7 \\\\ =63[\\text { 개] } \\end{array} \\] '가능한 한 적게', '최소한' 등의 표현이 나오면 대체로 최소공배수를 이용하는 문제이다.","정사각형의 한 변의 길이: $ 315 \\mathrm{~cm} $, 필요한 타일의 개수: $63$ 개",111.수학 과목 문제생성 데이터,training
00041_42303,M1_1_01_00041_42303_A.png,"(2) $6$장  (1) 만들려고 하는 정사각형의 한 변의 길이는 $36$ 과 $54$ 의 최소공배수이므로 (정사각형의 한 변의 길이)=(36과 54 의 최소공배수) $ =108(\\mathrm{~cm}) $ [2] [필요한 색종이의 장수] $ =\\frac{108}{36} \\times \\frac{108}{54} $ $=3 \\times 2 = 6$(장)   '가장 작은', '최소한' 등의 표현이 있는 경우 대체로 최소공배수를 이용하는 문제이다.",(1) $ 108 \\mathrm{~cm} $,111.수학 과목 문제생성 데이터,training
00041_42304,M1_1_01_00041_42304_A.png,"구하는 수를 $ x $ 라고 하면 $ x-4 $ 는 $ 9,12,18 $ 의 최소공배수이다. 그런데 $ 9,12,18 $ 의 최소공배수는 $36$ 이므로 $ x-4=36  \\therefore x=40 $ 구하는 수보다 $4$ 만큼 작은 수를 $ 9,12,18 $ 로 각각 나누면 나누어떨어진다.",$40$,111.수학 과목 문제생성 데이터,training
00041_42305,M1_1_01_00041_42305_A.png,"구하는 수를 $ x $라고 하면 $ x-1 $은 $ 4 , 5 , 6 $의 최소공배수이다. 그런데 (($4 , 5 , 6 $의 최소공배수)$ =60$ 이므로  $x-1=60 \\therefore x=61$ 구하는 수보다 $ 1 $만큼 작은 수를 $ 4 , 5 , 6 $로 각각 나누면 나누어떨어진다.",$ 61 $,111.수학 과목 문제생성 데이터,training
00041_42306,M1_1_01_00041_42306_A.png,"구하는 수에 $ 1 $을 더한 수는 $ 5 , 6 , 8 $의 최소공배수인 $ 120 $이므로 (구하는 수) $ +1=120 $ $\\therefore$ (구하는 수) $ =119 $  구하는 수에 $ 1 $을 더한 수는 $ 5 , 6 , 8 $의 어느 것으로 나누어도 나누어떨어진다.",$ 119 $,111.수학 과목 문제생성 데이터,training
00041_42307,M1_1_01_00041_42307_A.png,"구하는 자연수를 $ x $ 라고 하면 $ x-3 $ 은 $8,12$ 의 공배수이고, 공배수는 최소공배수의 배수이다. 그런데 $ (8,12  의 최소공배수  )=24 $ 이므로 $ x-3 $ 은 $24$ 의 배수이다. 따라서, 구하는 수는 $ 27,51,75,99,123, \\cdots $ 중 $100$ 에 가장 가까운 수이므로 $99$ 이다.    구하는 수보다 $3$ 만큼 작은 수는 $8,12$ 로 나누면 나누어떨어진다.",$99$,111.수학 과목 문제생성 데이터,training
00041_42309,M1_1_01_00041_42309_A.png,"구하는 자연수보다 $1$ 만큼 작은 수는 $\\mathrm{5,6}$ 의 최소공배수이다. 그런데, $\\mathrm{5, 6}$의 최소공배수가 $30$ 이므로 (구하는 수) $ -1=30 $ $ \\therefore $ (구하는 수) $ =31 $ 구하는 수보다 $1$ 만큼 작은 수를 $\\mathrm{5,6}$ 으로 나누면 나누어떨어진다.",$31$,111.수학 과목 문제생성 데이터,training
00041_42310,M1_1_01_00041_42310_A.png,(같은 톱니에서 다시 맞물릴 때까지 맞물린 톱니 수)(\\=(30\\)과 $45$의 공배수)같은 톱니에서 처음으로 다시 맞물리는 것은 $30$과 $45$의 최소공배수의 톱니 수만큼 맞물린 것이므로 (맞물린 톱니 수) $ =90 $ (개) $ \\therefore $ (작은 톱니바퀴의 회전 수) $ =\\frac{90}{30}=3 $ (회 전) <table border>   <tbody>     <tr>       <td>톱니바퀴</td><td>큰 톱니바퀴</td>       <td>작은 톱니바퀴</td>     </tr>     <tr>       <td>$n$회전할 때 맞물린 톱니 수(개)</td>       <td> $45 \\times n$ </td>       <td> $30 \\times n$ </td>     </tr> </tbody> </table>,$3$회전,111.수학 과목 문제생성 데이터,training
00041_42311,M1_1_01_00041_42311_A.png,같은 톱니에서 다시 맞물리는 것은 톱니 수가 $12$와 $15$의 공배수만큼 맞물린 것이다. 두 톱니바퀴가 같은 톱니에서 처음으로 다시 맞물리는 것은 $12$와 $15$의 최소공배수의 톱니 수만큼 맞물린 것이므로 (맞물린 톱니 수)=$60$(개) $ \\therefore $ (A 톱니바퀴의 회전 수)  $ =\\frac{60}{12}=5 $ (회전) (B 톱니바퀴의 회전 수)  $ =\\frac{60}{15}=4 $ (회전) <table border>   <tbody>     <tr>       <td>톱니바퀴</td>       <td>A</td>       <td>B</td>     </tr>     <tr>       <td>$n$ 회전할 때 맞물린 톱니 수(개)</td>       <td>$12\\times n$</td>       <td>$15\\times n$</td>     </tr> </tbody> </table>,"A 톱니바퀴 : $5$회전, B 톱니바퀴 : $4$회전",111.수학 과목 문제생성 데이터,training
00041_42312,M1_1_01_00041_42312_A.png,"$(같은 톱니에서 다시 맞물릴 때까지 맞물린 톱니 수)=(42,60의 공배수)$같은 톱니에서 처음으로 다시 맞물리는 것은 $42$와 $60$의 최소공배수의 톱니 수만큼 맞물린 것이므로$(맞물린 톱니 수)=420(개)$ $\\therefore x=\\frac{420}{42}=10$, $y=\\frac{420}{60}=7 $ $\\therefore x+y=17$ <table border>   <tbody>     <tr>       <td>톱니바퀴</td>       <td>A</td>       <td>B</td>     </tr>     <tr>       <td>n회전할 때 서로 맞물린 톱니 수(개)</td>       <td>\\(42\\times n\\)</td>       <td>\\(60\\times n\\)</td>     </tr> </tbody> </table>",①,111.수학 과목 문제생성 데이터,training
00041_42313,M1_1_01_00041_42313_A.png,두 톱니바퀴가 같은 톱니에서 다시 맞물리는 경우는 맞물려 회전한 톱니 수가 $18$ 과 $24$ 의 공배수일 때이다. 같은 톱니에서 처음으로 다시 맞물리는 것은 $18$ 과 $24$ 의 최소공배수의 톱니 수만큼 맞물린 것이므로 (맞물린 톱니 수) $ =72 $ (개) $ \\therefore $ (B 톱니바퀴의 회전 수) \\( =\\frac{72}{24}=3 \\text { (회전) } \\) <table border> <caption></caption>   <tbody>     <tr>       <td>톱니바퀴</td> <td>A</td>       <td>B</td>     </tr>     <tr>       <td>$n$ 회전할 때 서로 맞물린 톱니 수</td>       <td>$ 18 \\times n $ </td>  <td>$ 24 \\times n $</td>     </tr> </tbody> </table>,$3$회전,111.수학 과목 문제생성 데이터,training
00041_42314,M1_1_01_00041_42314_A.png,(1) (같은 톱니에서 다시 맞물릴 때까지 맞물린 톱니 수)=($24$와 $36$의 공배수) 같은 톱니에서 처음으로 다시 맞물리는 것은 $24$ 와 $36$ 의 최소공배수의 톱니 수만큼 맞물린 것이므로 (구하는 톱니 수) = ( $24$ 와 $36$ 의 최소공배수) = $72$ (개) (2) [A 톱니바퀴의 회전 수) $ =\\frac{72}{24}=3 $ (회전) <table border>   <tbody>     <tr>       <td>톱니바퀴</td>       <td>A</td>       <td>B</td>     </tr>     <tr>       <td>n 회전할 때 맞물린 톱니 수(개)</td>       <td>$24\\times n$</td>       <td>$36\\times n$</td>     </tr> </tbody> </table>,(1) $72$ 개 (2) $3$회전,111.수학 과목 문제생성 데이터,training
00041_42315,M1_1_01_00041_42315_A.png,(같은 톱니에서 다시 맞물릴 때까지 맞물린 톱니 수)=($36$과 $60$의 공배수)같은 톱니에서 처음으로 다시 맞물리는 것은 $36$과 $60$의 최소공배수의 톱니 수만큼 맞물린 것이므로(구하는 톱니 수)=($36$과 $60$의 최소공배수)=$180$(개) <table border> <caption></caption>   <tbody>     <tr>       <td>톱니바퀴</td>       <td> $ A$</td>       <td> $ B$</td>     </tr>     <tr>       <td>$n$회전할 때 서로 맞물린 톱니 수(개)</td>       <td>$ 36 \\times n $</td>       <td>$ 60 \\times n $</td>     </tr> </tbody> </table>,$180$개,111.수학 과목 문제생성 데이터,training
00041_42316,M1_1_01_00041_42316_A.png,"두 수를 $ A, B $ 라 하면(단, $ A>B $ ) 최대공약수가 $ 12 $ 이므로 ($ a, b$  는 서로소)로 나타낼 수 있고, 최소공배수는 $ 72 $이므로 $ 12 \\times a \\times b=72  \\therefore  a \\times b=6 $ $ a $ 와 $ b $ 는 서로소이므로 $ a=6, b=1 $ 또는 $ a=3, b=2 $ 즉, $ A=12 \\times 6=72, B=12 $ 또는 $ A=12 \\times 3=36, B=12 \\times 2=24 $ 그런데 두 수 $ A, B $ 의 차가 12 이므로 $ A=36, B=24 $ $\\therefore  A+B=60 $ $ k $ 가 두 수 $ A, B $ 의 최대공약수라고 하면 ( $ a, b $ 는 서로소)로 나타낼 수 있다.",$60$,111.수학 과목 문제생성 데이터,training
00041_42317,M1_1_01_00041_42317_A.png,"(a, b는 서로소 $ ) $ 로 나타낼 수 있으므로 \\( 10 \\times a \\times b=120  \\therefore a \\times b=12 \\) $ a $ 와 $ b $ 는 서로소이고 $ A>B $ 이므로 $ a=12, b=1 $ 또는 $ a=4, b=3 $ 즉, $ A=10 \\times 12=120, B=10 $ 또는 $ A=10 \\times 4=40, B=10 \\times 3=30 $ 따라서, 두 수의 합이 가장 작은 것은 두 수가 40,30 일 때이다. $ k $ 가 두 수 $ A, B $ 의 최대공약수라고 하면 (a, b는 서로소)로 나타낼 수 있다.","30, 40 두 자연수를 $ A, B $ 라 하면(단, $ A>B $ ) 최대공약수가 $10$이므로",111.수학 과목 문제생성 데이터,training
00041_42318,M1_1_01_00041_42318_A.png,"($a, b$ 는 서로소)로 나타낼 수 있으므로 $ 16 \\times a \\times b=64  \\therefore a \\times b=4 $ $a$ 와 $b$ 는 서로소이고 $A>B$ 이므로 $a=4, b=1$ 즉, $A=16 \\times 4=64, B=16 \\times 1=16$ $ \\therefore A-B=64-16=48 $ $k$ 가 두 수 $A, B$ 의 최대공약수라고 하면 ($a, b$ 는 서로소)로 나타낼 수 있다.",$48$,111.수학 과목 문제생성 데이터,training
00041_42319,M1_1_01_00041_42319_A.png,"두 수를 $A, B$ (단, $A>B$ )라 하면 $\\begin{array} {r} 16 \\underline{{\\big)} \\;\\; A~~~B} \\\\ a~~~~b \\end{array}$}($a$, $b$ 는 서로소)로 나타낼 수 있으므로 $ 16 \\times a \\times b=96 \\quad \\therefore a \\times b=6 $ $a$ 와 $b$ 는 서로소이고 $A>B$ 이므로 $a=6, b=1$ 또는 $a=3, b=2$ $ \\therefore A=16 \\times 6=96, B=16$ 또는 $A=16 \\times 3=48$, $B=16 \\times 2=32$ $A+B=96+16=112$ 또는 $A+B=48+32=80$ 따라서, 두 수의 합이 가장 큰 것은 $16$ 과 $96$ 이다. $k$ 가 두 수 $A, B$ 의 최대공약수이면 $\\begin{array} {r} k \\underline{{\\big)} \\;\\; A~~~B} \\\\ a~~~~b \\end{array}$}($a$, $b$ 는 서로소)로 나타낼 수 있다.","$16, 96$",111.수학 과목 문제생성 데이터,training
00041_42320,M1_1_01_00041_42320_A.png,"두 자연수를 $ A, B $ 라 하면 ($a, b$ 는 서로소)로 나타낼 수 있으므로 $ 21 \\times a \\times b=84 $, \\[ \\therefore a \\times b=4 \\] $ a, b $ 는 서로소이고 $ A>B $ 이므로 $ a=4, b=1 $ 따라서, 구하는 두 수는 $ A=21 \\times 4=84, B=21 \\times 1=21 $ $ k $ 가 두 수 $ A, B $ 의 최대공약수라고 하면 ($a, b$ 는 서로소)로 나타낼 수 있다. $21 \\hline{A  B}$","$21,84$",111.수학 과목 문제생성 데이터,training
00041_42321,M1_1_01_00041_42321_A.png,"두 수를 $A, B$ (단, $A>B$ )라 하면 $\\begin{array} {r} 36 \\underline{{\\big)} \\;\\; A~~~B} \\\\ a~~~~b \\end{array}$ $36 \\times a \\times b=144 \\quad \\therefore a \\times b=4$ $a, b$ 는 서로소이고 $A>B$ 이므로 $a=4, b=1$ 따라서, 두 수는 $A=36 \\times 4=144, B=36 \\times 1=36$ 이다. $k$ 가 두 수 $A, B$ 의 최대공약수이면 $\\begin{array} {r} k \\underline{{\\big)} \\;\\; A~~~B} \\\\ a~~~~b \\end{array}$ ($a, b$ 는 서로소)로 나타낼 수 있다.","$36$, $144$",111.수학 과목 문제생성 데이터,training
